fighter,opponent,date,reason
Quinton Jackson,Daijiro Matsui,2023-12-02 20:01:00,No name match above threshold
Jason Jackson,Kyle Stewart,2025-07-03 20:17:00,No name match above threshold
Rony Jason,Steven Siler,2023-03-02 20:14:00,No name match above threshold
Rony Jason,Godofredo Pepey,2023-06-02 20:12:00,No name match above threshold
Yazmin Jauregui,Sam Hughes,2024-02-02 20:24:00,No name match above threshold
Baergeng Jieleyisi,Sebastian Szalay,2022-05-02 20:25:00,No name match above threshold
Baergeng Jieleyisi,Tokitaka Nakanishi,2023-08-06 20:24:00,No name match above threshold
Miles Johns,Richie Santiago,2025-06-02 20:19:00,No name match above threshold
DaMarques Johnson,Mike Guymon,2022-01-02 20:11:00,No odds in date range
Tony Johnson,Alton Cunningham,2025-06-02 20:19:00,No name match above threshold
Lavar Johnson,Shawn Jordan,2023-09-19 20:11:00,No name match above threshold
Lavar Johnson,Virgil Zwicker,2022-10-11 20:10:00,No name match above threshold
Daniel Jolly,Alonzo Menifield,2025-07-03 20:17:00,No name match above threshold
Shawn Jordan,Lavar Johnson,2023-09-19 20:11:00,No name match above threshold
Shawn Jordan,Devin Cole,2022-07-17 20:11:00,No name match above threshold
Scott Jorgensen,Jussier Formiga,2023-03-02 20:14:00,No name match above threshold
Anshul Jubli,KyeungPyo Kim,2023-10-06 20:22:00,No name match above threshold
Kaiwen,DongHyun Seo,2022-05-02 20:25:00,No name match above threshold
Daichi Kamiya,Sangwook Kim,2023-05-04 20:25:00,No name match above threshold
Hiromitsu Kanehara,Mirko Filipovic,2023-05-03 20:04:00,No name match above threshold
Hiromitsu Kanehara,Wanderlei Silva,2024-11-02 20:02:00,No name match above threshold
Sarah Kaufman,Liz Carmouche,2022-07-17 20:11:00,No name match above threshold
Sarah Kaufman,Roxanne Modafferi,2023-07-09 20:10:00,No name match above threshold
Canaan Kawaihae,Chase Hooper,2024-07-06 20:18:00,No name match above threshold
Tatsuya Kawajiri,Joachim Hansen,2024-09-17 20:11:00,No name match above threshold
Tatsuya Kawajiri,Kim In Seok,2022-05-07 20:05:00,No name match above threshold
Masuto Kawana,Xie Bin,2023-08-06 20:24:00,No name match above threshold
Aziz Khaydarov,Mansher Khera,2022-05-02 20:25:00,No name match above threshold
Mansher Khera,Aziz Khaydarov,2022-05-02 20:25:00,No name match above threshold
WonBin Ki,Jeka Saragih,2023-10-05 20:22:00,No name match above threshold
Katsunori Kikuno,Kuniyoshi Hironaka,2022-03-13 20:10:00,No name match above threshold
Jin Oh Kim,Katsuhisa Fujii,2023-05-03 20:04:00,No name match above threshold
KyeungPyo Kim,Anshul Jubli,2023-10-06 20:22:00,No name match above threshold
Sangwook Kim,Daichi Kamiya,2023-05-04 20:25:00,No name match above threshold
Kamuela Kirk,Billy Quarantillo,2023-07-05 20:19:00,No name match above threshold
Satoru Kitaoka,Willamy Freire,2024-09-17 20:11:00,No name match above threshold
Top Noi Kiwram,HyunSung Park,2023-10-06 20:22:00,No name match above threshold
Josefine Knutsson,Isis Verbeek,2022-08-03 20:23:00,No name match above threshold
Seokhyeon Ko,Oban Elliott,2025-06-21 00:00:00,No name match above threshold
Syuri Kondo,Yan Xiaonan,2024-11-02 20:18:00,No name match above threshold
Rizvan Kuniev,Curtis Blaydes,2025-06-21 00:00:00,No name match above threshold
Ramazan Kuramagomedov,Jordan Williams,2023-07-05 20:19:00,No name match above threshold
Vadym Kutsyi,Daniel Frunza,2024-09-07 20:24:00,No name match above threshold
Mike Kyle,Abongo Humphrey,2023-07-09 20:10:00,No name match above threshold
Daniel Lacerda,Edgar Chairez,2024-02-02 20:24:00,No name match above threshold
Ben Lagman,Anthony Smith,2022-07-17 20:11:00,No name match above threshold
Noad Lahat,Godofredo Pepey,2023-03-02 20:14:00,No name match above threshold
Todd Lally,Jeff Curran,2023-11-03 20:02:00,No name match above threshold
Lionel Lanham,TJ Cook,2022-07-17 20:11:00,No name match above threshold
