fighter_url,Name,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Height_inches,Weight_lbs,Height (inches),Weight (lbs),Reach (in),Wins,Losses,Draws,Age,STANCE_:Open Stance,STANCE_:Orthodox,STANCE_:Sideways,STANCE_:Southpaw,STANCE_:Switch,STANCE_Unknown
http://ufcstats.com/fighter-details/ae4650eb56ab6a11,Patrick Speight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,170.0,73.0,170.0,,7,3,0,,0,1,0,0,0,0
http://ufcstats.com/fighter-details/ab850a77a0fa487d,Sean Spencer,4.24,0.32,4.02,0.6,0.14,0.33,0.68,0.0,70.0,170.0,70.0,170.0,74.0,12,6,0,38.0,0,1,0,0,0,0
http://ufcstats.com/fighter-details/39d91e95949de3d9,Felicia Spencer,3.21,0.48,4.54,0.45,1.18,0.18,0.27,0.2,66.0,145.0,66.0,145.0,68.0,9,3,0,34.5,0,1,0,0,0,0
http://ufcstats.com/fighter-details/221b2a3070c7ce3e,Sam Spengler,3.27,0.62,3.27,0.54,1.75,0.11,0.75,1.8,71.0,185.0,71.0,185.0,,9,5,0,,0,1,0,0,0,0
http://ufcstats.com/fighter-details/7d68f3bec89e08ec,Nick Sperling,1.4,0.25,1.4,0.66,0.0,0.0,0.0,0.0,,135.0,,135.0,,3,4,0,,0,0,0,0,0,1
http://ufcstats.com/fighter-details/5f2197acaba7d5ef,Mario Sperry,2.81,0.52,1.53,0.47,2.09,0.42,0.71,1.4,74.0,205.0,74.0,205.0,,13,4,0,58.7,0,1,0,0,0,0
http://ufcstats.com/fighter-details/b9664eae2ac75262,Eric Spicely,3.71,0.45,5.72,0.55,1.31,0.2,0.75,1.0,73.0,185.0,73.0,185.0,73.0,12,6,0,38.7,0,1,0,0,0,0
http://ufcstats.com/fighter-details/71caa995674203aa,Waachiim Spiritwolf,10.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,68.0,170.0,68.0,170.0,,12,13,1,,0,0,0,0,0,1
http://ufcstats.com/fighter-details/f86cb5f25d545e0e,Daniel Spitz,2.6,0.35,5.3,0.46,0.74,0.66,0.0,0.0,79.0,245.0,79.0,245.0,82.0,6,3,0,34.9,0,1,0,0,0,0
http://ufcstats.com/fighter-details/e2f6b2769aaedd6c,Serghei Spivac,3.45,0.48,4.25,0.5,4.21,0.62,0.63,0.5,75.0,260.0,75.0,260.0,78.0,17,6,0,30.4,0,1,0,0,0,0
